order_id,customer_id,seller_id,order_date,order_status,shipping_city,shipping_state
1,37,6,2025-11-06 14:30:00,Delivered,Surat,Gujarat
2,75,7,2025-05-17 10:01:00,Delivered,Jaipur,Rajasthan
3,57,5,2025-07-15 11:29:00,Delivered,Pune,Maharashtra
4,66,10,2025-04-08 19:27:00,Delivered,Jaipur,Rajasthan
5,3,11,2025-04-24 00:39:00,Delivered,Pune,Maharashtra
6,58,11,2025-10-06 19:59:00,Delivered,Delhi,Delhi
7,40,8,2025-09-27 02:33:00,Cancelled,Bengaluru,Karnataka
8,73,13,2025-11-20 17:38:00,Processing,Pune,Maharashtra
9,61,6,2025-02-18 22:05:00,Delivered,Chennai,Tamil Nadu
10,40,4,2025-04-23 05:31:00,Delivered,Bengaluru,Karnataka
11,67,12,2025-06-21 14:06:00,Shipped,Mumbai,Maharashtra
12,15,5,2025-01-30 08:04:00,Processing,Mumbai,Maharashtra
13,5,1,2025-04-11 02:43:00,Processing,Jaipur,Rajasthan
14,31,7,2025-07-27 18:57:00,Delivered,Surat,Gujarat
15,66,2,2025-01-13 03:03:00,Delivered,Jaipur,Rajasthan
16,26,2,2025-04-06 04:53:00,Processing,Surat,Gujarat
17,78,3,2025-08-24 14:32:00,Delivered,Pune,Maharashtra
18,100,10,2025-07-07 14:17:00,Shipped,Mumbai,Maharashtra
19,87,12,2025-08-06 08:35:00,Cancelled,Mumbai,Maharashtra
20,74,14,2025-08-11 00:02:00,Delivered,Kolkata,West Bengal
21,37,10,2025-02-05 19:39:00,Delivered,Surat,Gujarat
22,93,4,2025-07-16 21:19:00,Delivered,Bengaluru,Karnataka
23,61,4,2025-01-03 06:23:00,Delivered,Chennai,Tamil Nadu
24,41,13,2025-03-14 19:24:00,Delivered,Hyderabad,Telangana
25,97,1,2025-01-12 19:09:00,Delivered,Kolkata,West Bengal
26,24,10,2025-06-15 00:21:00,Delivered,Kolkata,West Bengal
27,85,15,2025-09-28 10:43:00,Delivered,Delhi,Delhi
28,40,4,2025-04-24 21:15:00,Delivered,Bengaluru,Karnataka
29,6,3,2025-04-19 09:06:00,Delivered,Jaipur,Rajasthan
30,74,8,2025-06-24 16:41:00,Delivered,Kolkata,West Bengal
31,49,13,2025-03-23 13:53:00,Delivered,Jaipur,Rajasthan
32,2,14,2025-08-10 11:55:00,Shipped,Hyderabad,Telangana
33,71,8,2025-03-18 03:49:00,Delivered,Hyderabad,Telangana
34,98,7,2025-01-28 20:14:00,Delivered,Delhi,Delhi
35,8,13,2025-10-23 16:25:00,Delivered,Kolkata,West Bengal
36,39,12,2025-02-18 10:36:00,Delivered,Surat,Gujarat
37,6,3,2025-03-18 16:56:00,Delivered,Jaipur,Rajasthan
38,28,9,2025-07-08 21:35:00,Delivered,Pune,Maharashtra
39,37,13,2025-07-11 08:18:00,Delivered,Surat,Gujarat
40,20,8,2025-01-10 20:34:00,Processing,Chennai,Tamil Nadu
41,40,2,2025-05-18 05:44:00,Cancelled,Bengaluru,Karnataka
42,90,13,2025-05-25 02:45:00,Delivered,Kolkata,West Bengal
43,40,11,2025-07-27 12:11:00,Processing,Bengaluru,Karnataka
44,22,1,2025-05-30 12:38:00,Delivered,Pune,Maharashtra
45,2,10,2025-11-11 04:42:00,Delivered,Hyderabad,Telangana
46,52,15,2025-11-25 16:50:00,Delivered,Mumbai,Maharashtra
47,71,2,2025-04-16 18:51:00,Delivered,Hyderabad,Telangana
48,78,2,2025-10-12 08:46:00,Processing,Pune,Maharashtra
49,78,15,2025-02-12 14:24:00,Delivered,Pune,Maharashtra
50,19,6,2025-06-22 02:50:00,Delivered,Bengaluru,Karnataka
51,13,9,2025-04-28 01:55:00,Shipped,Surat,Gujarat
52,90,4,2025-01-01 01:10:00,Delivered,Kolkata,West Bengal
53,62,5,2025-09-28 12:49:00,Delivered,Chennai,Tamil Nadu
54,93,3,2025-03-08 15:03:00,Delivered,Bengaluru,Karnataka
55,92,1,2025-03-09 13:33:00,Cancelled,Bengaluru,Karnataka
56,77,14,2025-12-09 16:59:00,Cancelled,Jaipur,Rajasthan
57,92,1,2025-01-28 15:36:00,Delivered,Bengaluru,Karnataka
58,73,15,2025-01-15 08:35:00,Delivered,Pune,Maharashtra
59,70,3,2025-07-05 18:42:00,Delivered,Bengaluru,Karnataka
60,54,8,2025-12-25 20:45:00,Cancelled,Pune,Maharashtra
61,47,13,2025-12-27 16:23:00,Cancelled,Ahmedabad,Gujarat
62,73,5,2025-07-04 04:24:00,Delivered,Pune,Maharashtra
63,49,4,2025-12-29 15:16:00,Delivered,Jaipur,Rajasthan
64,80,12,2025-03-06 09:45:00,Delivered,Ahmedabad,Gujarat
65,41,9,2025-05-31 09:42:00,Processing,Hyderabad,Telangana
66,96,9,2025-11-14 16:23:00,Delivered,Ahmedabad,Gujarat
67,16,8,2025-07-08 13:41:00,Delivered,Mumbai,Maharashtra
68,46,3,2025-07-02 21:31:00,Shipped,Surat,Gujarat
69,17,1,2025-08-11 14:42:00,Delivered,Delhi,Delhi
70,74,7,2025-05-25 17:54:00,Shipped,Kolkata,West Bengal
71,47,13,2025-10-23 17:45:00,Delivered,Ahmedabad,Gujarat
72,11,12,2025-01-26 15:56:00,Delivered,Mumbai,Maharashtra
73,10,12,2025-01-04 14:22:00,Delivered,Pune,Maharashtra
74,30,4,2025-07-14 20:37:00,Shipped,Kolkata,West Bengal
75,69,10,2025-07-04 07:58:00,Delivered,Pune,Maharashtra
76,63,14,2025-04-10 17:22:00,Shipped,Bengaluru,Karnataka
77,39,1,2025-03-23 07:07:00,Delivered,Surat,Gujarat
78,32,3,2025-01-03 03:33:00,Shipped,Surat,Gujarat
79,90,6,2025-04-17 07:18:00,Processing,Kolkata,West Bengal
80,72,5,2025-02-18 17:55:00,Delivered,Ahmedabad,Gujarat
81,75,15,2025-12-04 02:02:00,Delivered,Jaipur,Rajasthan
82,72,8,2025-04-07 10:28:00,Shipped,Ahmedabad,Gujarat
83,67,6,2025-05-05 05:13:00,Delivered,Mumbai,Maharashtra
84,48,15,2025-01-02 16:40:00,Delivered,Jaipur,Rajasthan
85,99,5,2025-12-03 08:25:00,Cancelled,Surat,Gujarat
86,32,1,2025-05-06 09:38:00,Delivered,Surat,Gujarat
87,22,5,2025-07-06 08:10:00,Shipped,Pune,Maharashtra
88,16,13,2025-02-08 15:28:00,Delivered,Mumbai,Maharashtra
89,19,3,2025-07-29 10:14:00,Delivered,Bengaluru,Karnataka
90,3,12,2025-08-19 16:01:00,Delivered,Pune,Maharashtra
91,53,4,2025-03-10 18:47:00,Shipped,Mumbai,Maharashtra
92,54,1,2025-01-19 12:10:00,Processing,Pune,Maharashtra
93,25,11,2025-10-15 05:37:00,Delivered,Hyderabad,Telangana
94,96,2,2025-05-31 19:24:00,Processing,Ahmedabad,Gujarat
95,93,10,2025-10-11 06:18:00,Delivered,Bengaluru,Karnataka
96,25,3,2025-02-08 01:58:00,Delivered,Hyderabad,Telangana
