order_item_id,order_id,product_id,quantity,unit_price,discount
1,1,10,2,4559.0,150
2,1,8,2,1189.0,100
3,2,46,1,4599.0,150
4,3,44,2,2049.0,0
5,4,29,1,1869.0,150
6,4,13,1,2849.0,20
7,5,34,1,2489.0,100
8,5,50,2,319.0,0
9,6,19,2,1079.0,100
10,6,18,2,539.0,50
11,7,16,1,3489.0,150
12,8,11,1,4889.0,50
13,8,43,2,599.0,50
14,9,2,3,1699.0,100
15,9,47,2,3969.0,100
16,10,24,1,699.0,150
17,11,30,2,1539.0,50
18,12,47,2,3969.0,50
19,13,22,3,2439.0,50
20,14,17,1,869.0,150
21,14,48,1,749.0,150
22,15,49,3,3039.0,0
23,16,20,1,1069.0,150
24,16,2,2,1699.0,100
25,17,44,3,2049.0,0
26,17,29,2,1869.0,0
27,18,2,1,1699.0,150
28,19,36,1,819.0,20
29,19,33,1,2509.0,150
30,19,43,2,599.0,20
31,20,48,3,749.0,100
32,21,38,3,3989.0,50
33,21,15,1,2739.0,20
34,22,32,3,3929.0,150
35,22,28,1,1069.0,100
36,23,44,3,2049.0,50
37,23,7,3,2589.0,20
38,24,20,2,1069.0,50
39,24,21,3,369.0,50
40,25,36,3,819.0,50
41,26,5,1,1839.0,150
42,26,18,2,539.0,0
43,27,48,1,749.0,150
44,27,2,3,1699.0,150
45,28,6,3,4899.0,150
46,28,44,2,2049.0,0
47,29,35,3,1059.0,150
48,30,8,2,1189.0,100
49,31,38,2,3989.0,150
50,31,23,2,4479.0,20
51,31,45,1,4619.0,150
52,32,50,2,319.0,20
53,32,47,2,3969.0,0
54,33,30,3,1539.0,50
55,33,26,2,1969.0,150
56,34,29,2,1869.0,150
57,34,31,1,2669.0,0
58,34,34,2,2489.0,20
59,35,34,2,2489.0,0
60,35,1,3,1929.0,50
61,36,6,1,4899.0,100
62,36,14,3,4099.0,100
63,36,39,3,3539.0,20
64,37,15,2,2739.0,20
65,37,18,3,539.0,50
66,38,5,3,1839.0,50
67,38,7,3,2589.0,0
68,39,7,3,2589.0,150
69,39,48,2,749.0,50
70,40,7,3,2589.0,20
71,40,32,1,3929.0,100
72,41,34,1,2489.0,0
73,42,42,3,2489.0,20
74,43,19,3,1079.0,100
75,44,8,1,1189.0,50
76,44,21,1,369.0,50
77,44,44,2,2049.0,0
78,45,22,2,2439.0,100
79,45,1,3,1929.0,20
80,46,6,2,4899.0,100
81,47,35,3,1059.0,100
82,48,32,2,3929.0,150
83,48,17,1,869.0,50
84,49,17,3,869.0,100
85,50,36,2,819.0,100
86,51,39,1,3539.0,100
87,52,44,1,2049.0,100
88,52,23,3,4479.0,0
89,53,8,2,1189.0,100
90,54,20,2,1069.0,50
91,55,47,3,3969.0,50
92,56,39,1,3539.0,100
93,57,15,2,2739.0,0
94,58,24,1,699.0,0
95,58,1,3,1929.0,0
96,59,12,3,2649.0,50
97,59,31,3,2669.0,50
98,60,28,3,1069.0,20
99,60,20,3,1069.0,50
100,61,41,1,329.0,100
101,61,19,3,1079.0,0
102,62,15,3,2739.0,20
103,63,49,2,3039.0,150
104,63,13,1,2849.0,50
105,64,41,3,329.0,150
106,65,25,2,439.0,0
107,65,11,1,4889.0,0
108,66,6,1,4899.0,100
109,66,28,1,1069.0,50
110,66,16,3,3489.0,20
111,67,43,3,599.0,0
112,68,50,3,319.0,20
113,68,28,2,1069.0,100
114,69,29,1,1869.0,0
115,70,19,1,1079.0,50
116,71,21,3,369.0,100
117,72,17,3,869.0,0
118,73,13,1,2849.0,100
119,73,22,1,2439.0,150
120,74,6,1,4899.0,100
121,74,1,1,1929.0,150
122,75,4,1,1059.0,50
123,75,2,1,1699.0,0
124,75,40,3,4279.0,20
125,76,47,3,3969.0,50
126,76,28,2,1069.0,100
127,76,2,2,1699.0,20
128,77,3,3,4509.0,0
129,77,26,3,1969.0,20
130,77,50,2,319.0,20
131,78,41,1,329.0,100
132,79,14,3,4099.0,20
133,79,17,2,869.0,100
134,80,1,1,1929.0,100
135,80,8,2,1189.0,20
136,81,7,3,2589.0,20
137,82,42,3,2489.0,0
138,83,31,2,2669.0,0
139,83,19,3,1079.0,50
140,84,47,3,3969.0,50
141,85,22,2,2439.0,100
142,85,34,1,2489.0,150
143,85,8,3,1189.0,150
144,86,28,2,1069.0,20
145,87,2,1,1699.0,50
146,88,1,3,1929.0,20
147,89,7,1,2589.0,150
148,89,21,1,369.0,50
149,89,47,2,3969.0,100
150,90,17,3,869.0,50
151,90,14,1,4099.0,20
152,91,30,2,1539.0,0
153,92,33,1,2509.0,20
154,92,13,1,2849.0,100
155,93,10,3,4559.0,100
156,93,21,1,369.0,100
157,93,1,1,1929.0,150
158,94,49,1,3039.0,20
159,95,1,1,1929.0,50
160,96,45,2,4619.0,0
161,97,22,3,2439.0,150
162,98,30,1,1539.0,100
163,99,14,2,4099.0,20
164,100,5,2,1839.0,100
165,101,6,3,4899.0,150
166,102,12,1,2649.0,100
167,103,35,1,1059.0,20
168,104,40,2,4279.0,100
169,105,10,2,4559.0,50
170,105,8,2,1189.0,100
171,106,11,2,4889.0,150
172,107,11,2,4889.0,0
173,107,31,1,2669.0,100
174,108,36,2,819.0,20
175,109,25,3,439.0,150
176,110,24,3,699.0,100
177,111,34,3,2489.0,100
178,112,43,3,599.0,0
179,112,12,1,2649.0,50
180,112,36,1,819.0,150
181,113,14,1,4099.0,0
182,114,37,1,2519.0,100
183,115,41,1,329.0,0
184,116,5,2,1839.0,20
185,117,21,3,369.0,100
186,118,18,3,539.0,20
187,118,3,2,4509.0,20
188,118,33,1,2509.0,150
189,119,21,1,369.0,0
190,120,24,1,699.0,150
191,120,2,1,1699.0,50
192,121,10,1,4559.0,20
193,122,8,3,1189.0,0
194,123,11,1,4889.0,100
195,124,6,2,4899.0,0
196,125,36,1,819.0,100
197,126,35,2,1059.0,50
198,126,30,1,1539.0,50
199,127,34,3,2489.0,50
200,128,21,3,369.0,0
201,129,11,1,4889.0,20
202,130,18,2,539.0,0
203,131,26,3,1969.0,50
204,132,45,1,4619.0,100
205,133,45,1,4619.0,150
206,133,31,3,2669.0,20
207,133,27,1,2839.0,0
208,134,32,1,3929.0,0
209,134,22,1,2439.0,100
210,135,47,2,3969.0,50
211,136,34,3,2489.0,20
212,137,5,2,1839.0,150
213,138,25,3,439.0,50
214,139,42,2,2489.0,50
215,140,27,3,2839.0,20
216,141,37,3,2519.0,20
217,142,29,1,1869.0,50
218,142,43,1,599.0,0
219,143,26,3,1969.0,150
220,143,16,2,3489.0,150
221,144,7,3,2589.0,0
222,144,39,1,3539.0,150
223,144,50,3,319.0,0
224,145,34,3,2489.0,20
225,146,19,2,1079.0,100
226,146,23,3,4479.0,100
227,147,25,1,439.0,0
228,148,4,1,1059.0,100
229,149,11,3,4889.0,0
