customer_id,customer_name,gender,age,city,state,registration_date
1,Customer 1,Female,32,Surat,Gujarat,2024-04-16
2,Customer 2,Female,56,Hyderabad,Telangana,2024-05-01
3,Customer 3,Male,28,Pune,Maharashtra,2024-03-28
4,Customer 4,Female,41,Bengaluru,Karnataka,2024-05-10
5,Customer 5,Male,41,Jaipur,Rajasthan,2025-05-06
6,Customer 6,Male,38,Jaipur,Rajasthan,2024-06-09
7,Customer 7,Female,42,Kolkata,West Bengal,2025-07-14
8,Customer 8,Male,33,Kolkata,West Bengal,2024-07-08
9,Customer 9,Male,20,Pune,Maharashtra,2025-04-29
10,Customer 10,Female,26,Pune,Maharashtra,2024-06-15
11,Customer 11,Female,31,Mumbai,Maharashtra,2024-08-29
12,Customer 12,Male,19,Kolkata,West Bengal,2024-12-05
13,Customer 13,Female,25,Surat,Gujarat,2024-02-04
14,Customer 14,Male,57,Ahmedabad,Gujarat,2025-01-22
15,Customer 15,Male,59,Mumbai,Maharashtra,2025-04-21
16,Customer 16,Female,51,Mumbai,Maharashtra,2024-07-20
17,Customer 17,Female,32,Delhi,Delhi,2025-03-31
18,Customer 18,Female,57,Surat,Gujarat,2024-12-03
19,Customer 19,Female,42,Bengaluru,Karnataka,2024-07-06
20,Customer 20,Male,18,Chennai,Tamil Nadu,2025-06-04
21,Customer 21,Male,25,Hyderabad,Telangana,2025-04-16
22,Customer 22,Female,52,Pune,Maharashtra,2025-02-22
23,Customer 23,Female,59,Ahmedabad,Gujarat,2024-08-18
24,Customer 24,Male,24,Kolkata,West Bengal,2024-07-19
25,Customer 25,Male,50,Hyderabad,Telangana,2024-02-17
26,Customer 26,Male,41,Surat,Gujarat,2024-04-08
27,Customer 27,Male,52,Hyderabad,Telangana,2025-04-06
28,Customer 28,Female,43,Pune,Maharashtra,2025-05-17
29,Customer 29,Male,32,Surat,Gujarat,2024-01-15
30,Customer 30,Male,30,Kolkata,West Bengal,2025-07-28
31,Customer 31,Male,49,Surat,Gujarat,2025-04-29
32,Customer 32,Female,32,Surat,Gujarat,2024-06-19
33,Customer 33,Female,24,Delhi,Delhi,2024-08-30
34,Customer 34,Female,59,Jaipur,Rajasthan,2025-07-10
35,Customer 35,Male,45,Chennai,Tamil Nadu,2024-01-28
36,Customer 36,Female,28,Delhi,Delhi,2025-05-20
37,Customer 37,Female,56,Surat,Gujarat,2024-07-08
38,Customer 38,Male,44,Ahmedabad,Gujarat,2024-09-15
